Id,Id2,Id3,Geography,Total Workers,Drove Alone,Carpooled,Walked or Biked,"Public Transportation, Taxi, or Motorcycle",Worked From Home,Work In State of Residence,InCounty,OutCounty,Work Outside State of Residence,Total Commuters,Left Between 12am and 4am,Left Between 5am and 6am,Left Between 6am and 7am,Left Between 7am and 8am,Left Between 8am and 9am,Left Between 9am and 12pm,Less Than 10 Minutes,10-19 Minutes,20-29 Minutes,30-44 Minutes,45-59 Minutes,60 Minutes or more,MeanTravel
0500000US55091,55091,id55091,"Pepin County, Wisconsin",3588,2702,312,237,36,301,3236,53.8,36.4,352,3287,371,414,680,934,299,595,1016,556,381,720,391,227,24.4
0500000US27029,27029,id27029,"Clearwater County, Minnesota",3454,2673,424,72,69,218,3316,61.1,34.9,138,3238,120,327,777,1065,314,635,826,848,470,563,233,298,26.1
0500000US27073,27073,id27073,"Lac qui Parle County, Minnesota",3359,2496,276,184,34,366,3252,71.4,25.4,107,2993,123,323,488,1015,461,587,1122,820,449,398,93,111,16.9
0500000US27167,27167,id27167,"Wilkin County, Minnesota",3331,2585,307,150,16,276,1709,41.5,9.8,1622,3054,107,281,605,996,391,675,1044,806,449,483,192,82,18.6
0500000US27107,27107,id27107,"Norman County, Minnesota",3088,2418,238,130,24,278,2637,62.2,23.2,451,2811,79,281,557,1054,382,461,900,708,343,351,225,284,22.3
0500000US27081,27081,id27081,"Lincoln County, Minnesota",2946,2115,268,189,30,348,2678,60.4,30.5,268,2599,96,231,574,899,322,478,894,580,338,585,112,91,20.2
0500000US27051,27051,id27051,"Grant County, Minnesota",2919,2318,195,210,58,140,2866,57.4,40.8,53,2778,89,256,489,1025,406,514,828,539,469,656,122,161,22.7
0500000US27031,27031,id27031,"Cook County, Minnesota",2726,1944,275,275,38,188,2721,94.8,5.1,5,2537,53,150,414,893,444,584,1157,637,264,226,142,109,18.5
0500000US55051,55051,id55051,"Iron County, Wisconsin",2468,1974,264,79,30,123,1765,50.1,21.4,703,2344,134,270,445,750,270,478,565,755,396,340,143,143,21.4
0500000US27011,27011,id27011,"Big Stone County, Minnesota",2418,1830,208,150,20,215,2048,67.9,16.9,370,2204,119,190,406,769,348,372,921,538,311,253,84,97,17
0500000US27069,27069,id27069,"Kittson County, Minnesota",2129,1473,230,175,28,226,1831,72.3,13.7,298,1903,86,186,419,649,247,316,706,432,240,276,135,114,20
0500000US27087,27087,id27087,"Mahnomen County, Minnesota",2121,1595,279,97,64,83,2051,69.5,27.2,70,2038,61,200,300,797,277,406,648,487,334,344,65,157,22.1
0500000US27125,27125,id27125,"Red Lake County, Minnesota",2048,1640,191,86,14,115,1995,46.4,51,53,1933,60,155,450,727,240,302,470,356,506,404,118,79,22.3
0500000US27077,27077,id27077,"Lake of the Woods County, Minnesota",1971,1474,347,55,2,91,1969,72.7,27.2,2,1880,286,212,290,545,199,348,525,611,290,308,38,109,18.4
0500000US55037,55037,id55037,"Florence County, Wisconsin",1878,1617,90,19,23,130,868,38.6,7.7,1010,1749,145,245,388,341,236,394,397,582,418,217,35,96,20.3
0500000US27155,27155,id27155,"Traverse County, Minnesota",1618,1217,113,113,13,162,1482,77.6,14,136,1457,29,93,264,542,275,254,753,267,165,207,34,34,15
0500000US55078,55078,id55078,"Menominee County, Wisconsin",1405,1033,258,40,44,32,1394,84.6,14.6,11,1373,60,136,323,482,62,310,397,465,330,63,69,49,17
