Id,Id2,Geography,Workers 16 years and over,CarAlone,Carpool,Public,WalkedOrBiked,TaxiMotorOther,WorkedAtHome,InState,InCounty,OutCounty,OutState,Time
0500000US55025,55025,"Dane County, Wisconsin",275925,72.6,8.4,5.1,8.7,0.8,4.5,99.2,94.5,4.7,0.8,20.9
0500000US55027,55027,"Dodge County, Wisconsin",42291,84.1,7.5,0.2,3.4,1,3.9,99.7,57.7,42,0.3,21.8
0500000US55029,55029,"Door County, Wisconsin",13065,78.6,10.3,0.3,4.6,1.3,4.9,98.6,84.6,14,1.4,19.3
0500000US55031,55031,"Douglas County, Wisconsin",20960,80.9,9.2,1.3,3.8,1.2,3.5,61.5,58.8,2.7,38.5,21.1
0500000US55033,55033,"Dunn County, Wisconsin",21778,77.3,9.2,0.1,7.6,0.8,5,95.9,64.5,31.4,4.1,22.3
0500000US55035,55035,"Eau Claire County, Wisconsin",53233,80.2,7.6,1,5.2,1,5,98.5,80.7,17.8,1.5,17.8
0500000US55037,55037,"Florence County, Wisconsin",1878,86.1,4.8,0.8,1,0.4,6.9,46.2,38.6,7.7,53.8,20.3
0500000US55039,55039,"Fond du Lac County, Wisconsin",51770,81.5,9.5,0.3,4,1,3.7,99.4,70.2,29.2,0.6,20.1
0500000US55041,55041,"Forest County, Wisconsin",3596,77.4,11.8,0.7,2.7,0.8,6.6,98,76.5,21.4,2,21.6
0500000US55043,55043,"Grant County, Wisconsin",25378,77.7,8.3,0.3,7.1,1,5.6,86.2,67.4,18.8,13.8,20.7
0500000US55045,55045,"Green County, Wisconsin",19258,80.3,8.5,0,3.9,1.1,6.1,96.4,60.4,36.1,3.6,23.4
0500000US55047,55047,"Green Lake County, Wisconsin",8903,79.1,9.1,0.3,4.5,1.9,5,99.2,51.4,47.7,0.8,23.1
0500000US55049,55049,"Iowa County, Wisconsin",12259,75.6,12.1,0.3,4.2,1.5,6.3,98.7,59.4,39.2,1.3,25.4
0500000US55051,55051,"Iron County, Wisconsin",2468,80,10.6,0.2,3.2,1,5,71.5,50.1,21.4,28.5,21.4
0500000US55053,55053,"Jackson County, Wisconsin",9035,80.1,10.6,0.1,2.8,1.2,5.2,98.5,69.6,28.9,1.5,21.7
0500000US55055,55055,"Jefferson County, Wisconsin",42648,81.4,9.6,0.3,4.1,0.8,3.8,99.3,53.6,45.7,0.7,23.2
0500000US55057,55057,"Juneau County, Wisconsin",11670,80.6,11.1,0.4,3.3,1,3.7,98.4,62.6,35.8,1.6,23.3
0500000US55059,55059,"Kenosha County, Wisconsin",77188,84.7,8.2,1.1,2.3,1.1,2.6,72.1,54.7,17.5,27.9,25.9
0500000US55061,55061,"Kewaunee County, Wisconsin",10118,80.7,7.8,0.5,4.8,1.1,5.2,99.9,54.5,45.4,0.1,22.4
0500000US55063,55063,"La Crosse County, Wisconsin",61019,80,8.2,1,6.5,0.8,3.5,97.2,89.5,7.7,2.8,18.1
0500000US55065,55065,"Lafayette County, Wisconsin",8514,75.9,8.3,0.2,5.7,0.9,8.9,90.9,49.9,41,9.1,24.9
0500000US55067,55067,"Langlade County, Wisconsin",8814,79.4,8.8,0.3,5.7,1.4,4.4,99.2,80.2,19,0.8,20.5
0500000US55069,55069,"Lincoln County, Wisconsin",13588,82.9,10.4,0.7,2,0.9,3.1,99.3,63.2,36.1,0.7,22.6
